iter	Passed	Remaining
402	12129	17968
403	12152	17927
404	12184	17900
405	12210	17864
406	12240	17834
407	12263	17793
408	12286	17754
409	12314	17721
410	12339	17683
411	12360	17640
412	12382	17599
413	12411	17567
414	12432	17525
415	12457	17488
416	12487	17459
417	12513	17422
418	12537	17384
419	12555	17337
420	12582	17304
421	12611	17273
422	12636	17236
423	12655	17192
424	12681	17157
425	12712	17128
426	12736	17090
427	12759	17052
428	12782	17013
429	12818	16992
430	12846	16960
431	12869	16920
432	12890	16879
433	12912	16840
434	12942	16810
435	12968	16776
436	12989	16735
437	13021	16708
438	13046	16672
439	13066	16630
440	13087	16588
441	13116	16558
442	13141	16523
443	13165	16487
444	13184	16443
445	13213	16412
446	13234	16373
447	13252	16329
448	13280	16297
449	13303	16260
450	13330	16227
451	13350	16185
452	13379	16155
453	13413	16131
454	13444	16104
455	13476	16077
456	13523	16068
457	13548	16032
458	13581	16007
459	13622	15992
460	13656	15967
461	13700	15954
462	13737	15933
463	13784	15923
464	13837	15920
465	13896	15924
466	13949	15921
467	13994	15907
468	14029	15883
469	14066	15862
470	14099	15836
471	14142	15820
472	14176	15794
473	14198	15755
474	14244	15743
475	14278	15718
476	14307	15686
477	14340	15660
478	14376	15637
479	14401	15601
480	14426	15566
481	14447	15526
482	14475	15494
483	14498	15456
484	14517	15415
485	14542	15380
486	14579	15357
487	14607	15325
488	14628	15286
489	14656	15254
490	14678	15216
491	14708	15186
492	14735	15153
493	14760	15118
494	14791	15090
495	14810	15049
496	14836	15015
497	14865	14984
498	14891	14950
499	14922	14922
500	14950	14890
501	14969	14850
502	15000	14821
503	15023	14785
504	15049	14751
505	15068	14711
506	15095	14678
507	15119	14642
508	15137	14602
509	15164	14570
510	15188	14535
511	15215	14501
512	15234	14462
513	15259	14427
514	15282	14392
515	15308	14359
516	15328	14320
517	15350	14284
518	15370	14244
519	15391	14207
520	15424	14180
521	15462	14158
522	15493	14130
523	15526	14104
524	15558	14076
525	15589	14048
526	15620	14020
527	15651	13991
528	15683	13964
529	15716	13936
530	15746	13907
531	15777	13879
532	15815	13857
533	15847	13829
534	15871	13795
535	15889	13755
536	15913	13720
537	15939	13688
538	15964	13653
539	15997	13627
540	16020	13592
541	16044	13557
542	16070	13525
543	16093	13489
544	16112	13451
545	16140	13421
546	16169	13390
547	16192	13355
548	16209	13316
549	16237	13285
550	16265	13254
551	16287	13218
552	16305	13179
553	16337	13152
554	16363	13120
555	16385	13084
556	16402	13045
557	16432	13016
558	16455	12982
559	16479	12947
560	16500	12912
561	16521	12876
562	16542	12840
563	16565	12805
564	16586	12770
565	16607	12734
566	16628	12698
567	16649	12663
568	16680	12634
569	16699	12597
570	16722	12563
571	16743	12528
572	16761	12490
573	16793	12463
574	16823	12434
575	16854	12406
576	16885	12378
577	16915	12350
578	16941	12318
579	16968	12287
580	17000	12260
581	17029	12230
582	17060	12202
583	17092	12175
584	17115	12141
585	17144	12112
586	17165	12077
587	17182	12039
588	17212	12010
589	17233	11975
590	17251	11938
591	17271	11903
592	17294	11869
593	17317	11836
594	17337	11801
595	17359	11767
596	17377	11730
597	17402	11698
598	17427	11666
599	17450	11633
600	17473	11600
601	17495	11567
602	17517	11532
603	17539	11499
604	17561	11465
605	17586	11434
606	17609	11401
607	17628	11365
608	17650	11332
609	17675	11300
610	17709	11275
611	17752	11254
612	17775	11222
613	17794	11186
614	17820	11155
615	17842	11122
616	17859	11086
617	17885	11055
618	17906	11021
619	17932	10991
620	17953	10957
621	17975	10924
622	18004	10895
623	18035	10867
624	18061	10836
625	18083	10804
626	18110	10773
627	18136	10743
628	18154	10707
629	18178	10676
630	18198	10642
631	18216	10606
632	18248	10579
633	18268	10545
634	18286	10511
635	18309	10479
636	18333	10447
637	18352	10413
638	18373	10380
639	18393	10346
640	18415	10313
641	18446	10286
642	18478	10259
643	18507	10231
644	18548	10208
645	18599	10192
646	18629	10164
647	18647	10129
648	18672	10098
649	18697	10068
650	18730	10041
651	18760	10013
652	18779	9979
653	18808	9950
654	18835	9921
655	18857	9888
656	18875	9854
657	18897	9822
658	18916	9788
659	18937	9755
660	18960	9724
661	18986	9694
662	19009	9662
663	19030	9630
664	19051	9597
665	19080	9568
666	19099	9535
667	19122	9503
668	19142	9471
669	19167	9440
670	19191	9409
671	19212	9377
672	19229	9343
673	19258	9315
674	19289	9287
675	19311	9255
676	19329	9222
677	19373	9201
678	19400	9171
679	19419	9138
680	19440	9106
681	19466	9076
682	19492	9047
683	19518	9017
684	19538	8984
685	19564	8955
686	19590	8925
687	19613	8894
688	19633	8862
689	19663	8834
690	19687	8803
691	19705	8770
692	19731	8741
693	19753	8709
694	19770	8676
695	19799	8648
696	19820	8616
697	19844	8586
698	19865	8554
699	19892	8525
700	19916	8495
701	19934	8462
702	19958	8432
703	19979	8400
704	19999	8368
705	20025	8339
706	20047	8308
707	20064	8275
708	20090	8245
709	20113	8215
710	20131	8182
711	20156	8153
712	20177	8121
713	20196	8089
714	20238	8066
715	20270	8040
716	20292	8009
717	20321	7981
718	20343	7950
719	20361	7918
720	20389	7890
721	20411	7859
722	20435	7829
723	20453	7797
724	20484	7770
725	20513	7742
726	20537	7712
727	20554	7679
728	20584	7652
729	20608	7622
730	20635	7593
731	20664	7565
732	20683	7534
733	20709	7505
734	20741	7478
735	20765	7448
736	20790	7419
737	20813	7388
738	20844	7362
739	20866	7331
740	20890	7301
741	20909	7270
742	20938	7242
743	20961	7212
744	20984	7182
745	21007	7152
746	21034	7123
747	21057	7094
748	21079	7063
749	21103	7034
750	21124	7003
751	21151	6975
752	21170	6944
753	21189	6913
754	21214	6884
755	21239	6855
756	21257	6823
757	21287	6796
758	21309	6766
759	21338	6738
760	21362	6709
761	21383	6678
762	21405	6648
763	21422	6617
764	21452	6589
765	21479	6561
766	21501	6531
767	21518	6500
768	21545	6472
769	21577	6445
770	21609	6418
771	21634	6389
772	21665	6362
773	21684	6331
774	21710	6303
775	21734	6273
776	21756	6244
777	21778	6214
778	21806	6186
779	21828	6156
780	21859	6129
781	21887	6101
782	21909	6071
783	21935	6043
784	21956	6013
785	21976	5983
786	22018	5959
787	22040	5929
788	22082	5905
789	22108	5876
790	22137	5849
791	22168	5821
792	22198	5794
793	22234	5768
794	22271	5743
795	22306	5716
796	22340	5690
797	22363	5660
798	22389	5632
799	22416	5604
800	22441	5575
801	22466	5546
802	22489	5517
803	22517	5489
804	22539	5459
805	22563	5430
806	22599	5404
807	22619	5374
808	22645	5346
809	22668	5317
810	22688	5287
811	22714	5258
812	22741	5230
813	22764	5201
814	22785	5172
815	22805	5142
816	22831	5114
817	22853	5084
818	22872	5054
819	22898	5026
820	22921	4997
821	22947	4969
822	22965	4939
823	22986	4909
824	23009	4880
825	23032	4851
826	23056	4823
827	23082	4794
828	23106	4766
829	23129	4737
830	23151	4708
831	23170	4678
832	23192	4649
833	23213	4620
834	23241	4592
835	23260	4562
836	23288	4535
837	23310	4506
838	23334	4477
839	23355	4448
840	23377	4419
841	23404	4391
842	23434	4364
843	23453	4335
844	23475	4306
845	23498	4277
846	23544	4253
847	23567	4224
848	23615	4200
849	23652	4173
850	23682	4146
851	23717	4119
852	23748	4092
853	23796	4068
854	23829	4041
855	23862	4014
856	23893	3986
857	23926	3959
858	23957	3932
859	23987	3904
860	24014	3876
861	24043	3849
862	24068	3820
863	24087	3791
864	24118	3764
865	24148	3736
866	24171	3708
867	24195	3679
868	24215	3650
869	24247	3623
870	24270	3594
871	24302	3567
872	24319	3537
873	24347	3510
874	24383	3483
875	24418	3456
876	24452	3429
877	24494	3403
878	24528	3376
879	24560	3349
880	24579	3320
881	24601	3291
882	24632	3263
883	24665	3236
884	24692	3208
885	24723	3181
886	24765	3155
887	24796	3127
888	24832	3100
889	24864	3073
890	24896	3045
891	24926	3018
892	24957	2990
893	24984	2962
894	25014	2934
895	25040	2906
896	25066	2878
897	25096	2850
898	25127	2823
899	25158	2795
900	25194	2768
901	25226	2740
902	25257	2713
903	25291	2685
904	25322	2658
905	25354	2630
906	25386	2603
907	25418	2575
908	25449	2547
909	25483	2520
910	25517	2492
911	25549	2465
912	25583	2437
913	25617	2410
914	25648	2382
915	25685	2355
916	25719	2327
917	25749	2300
918	25774	2271
919	25799	2243
920	25820	2214
921	25845	2186
922	25868	2158
923	25885	2129
924	25917	2101
925	25945	2073
926	25967	2044
927	25984	2016
928	26009	1987
929	26031	1959
930	26054	1931
931	26079	1902
932	26110	1875
933	26141	1847
934	26162	1818
935	26189	1790
936	26209	1762
937	26235	1734
938	26260	1705
939	26284	1677
940	26305	1649
941	26327	1621
942	26356	1593
943	26374	1564
944	26396	1536
945	26416	1507
946	26437	1479
947	26471	1452
948	26491	1423
949	26513	1395
950	26533	1367
951	26562	1339
952	26586	1311
953	26618	1283
954	26651	1255
955	26673	1227
956	26694	1199
957	26716	1171
958	26734	1142
959	26763	1115
960	26791	1087
961	26811	1059
962	26829	1030
963	26855	1002
964	26877	974
965	26897	946
966	26921	918
967	26950	890
968	27087	866
969	27146	839
970	27189	812
971	27219	784
972	27248	756
973	27280	728
974	27311	700
975	27337	672
976	27365	644
977	27396	616
978	27429	588
979	27459	560
980	27495	532
981	27511	504
982	27536	476
983	27570	448
984	27602	420
985	27623	392
986	27648	364
987	27678	336
988	27698	308
989	27720	280
990	27738	251
991	27764	223
992	27786	195
993	27803	167
994	27829	139
995	27850	111
996	27869	83
997	27901	55
998	27926	27
999	27947	0
